x0000,y0000
1.687410847e+15,-7.045,
1.687410967e+15,-7.03,
1.687411087e+15,-7.03,
1.687411208e+15,-7.019,
1.687411328e+15,-7.018,
1.687411448e+15,-6.998,
1.687411568e+15,-6.989,
1.687411688e+15,-6.999,
1.687411808e+15,-6.974,
1.687411928e+15,-6.979,
1.687412048e+15,-6.995,
1.687412168e+15,-6.972,
1.687412288e+15,-6.995,
1.687412408e+15,-6.966,
1.687412528e+15,-7.017,
1.687412648e+15,-7.021,
1.687412768e+15,-7.007,
1.687412888e+15,-7.007,
1.687413008e+15,-7.011,
1.687413128e+15,-7.001,
1.687413248e+15,-6.996,
1.687413368e+15,-6.991,
1.687413488e+15,-6.995,
1.687413608e+15,-6.989,
1.687413728e+15,-7.008,
1.687413848e+15,-6.985,
1.687413968e+15,-7.001,
1.687414088e+15,-7.015,
1.687414208e+15,-7.01,
1.687414328e+15,-7.014,
1.687414448e+15,-7.014,
1.687414568e+15,-7.005,
1.687414688e+15,-7.016,
1.687414808e+15,-7.003,
1.687414928e+15,-6.995,
1.687415048e+15,-6.975,
1.687415168e+15,-6.982,
1.687415288e+15,-6.999,
1.687415408e+15,-6.974,
1.687415528e+15,-6.992,
1.687415648e+15,-6.988,
1.687415768e+15,-6.983,
1.687415888e+15,-6.967,
1.687416008e+15,-6.979,
1.687416128e+15,-6.987,
1.687416248e+15,-6.987,
1.687416368e+15,-6.988,
1.687416488e+15,-6.993,
1.687416608e+15,-6.997,
1.687416728e+15,-6.984,
1.687416848e+15,-7.005,
1.687416968e+15,-7.009,
1.687417088e+15,-6.991,
1.687417208e+15,-6.989,
1.687417328e+15,-6.973,
1.687417448e+15,-6.979,
1.687417568e+15,-6.973,
1.687417688e+15,-6.984,
1.687417808e+15,-6.994,
1.687417928e+15,-6.996,
1.687418048e+15,-7.007,
1.687418168e+15,-7.009,
1.687418288e+15,-7.005,
1.687418408e+15,-7.002,
1.687418528e+15,-7.009,
1.687418648e+15,-7.016,
1.687418768e+15,-7.012,
1.687418888e+15,-7.013,
1.687419008e+15,-7.001,
1.687419128e+15,-7,
1.687419248e+15,-6.999,
1.687419368e+15,-6.986,
1.687419488e+15,-6.977,
1.687419608e+15,-6.987,
1.687419728e+15,-6.974,
1.687419848e+15,-6.973,
1.687419968e+15,-6.989,
1.687420088e+15,-6.998,
1.687420208e+15,-6.994,
1.687420328e+15,-7,
1.687420448e+15,-7.007,
1.687420568e+15,-7,
1.687420688e+15,-7.006,
1.687420808e+15,-7.024,
1.687420928e+15,-7.026,
1.687421048e+15,-7.033,
1.687421168e+15,-7.046,
1.687421288e+15,-7.029,
1.687421408e+15,-7.028,
1.687421528e+15,-7.029,
1.687421648e+15,-7.026,
1.687421768e+15,-7.022,
1.687421888e+15,-7.038,
1.687422008e+15,-7.03,
1.687422128e+15,-7.018,
1.687422248e+15,-6.995,
1.687422368e+15,-6.992,
1.687422488e+15,-6.995,
1.687422608e+15,-6.99,
1.687422728e+15,-7.001,
1.687422848e+15,-6.997,
1.687422968e+15,-6.998,
1.687423088e+15,-7.003,
1.687423208e+15,-7.009,
1.687423328e+15,-7.009,
1.687423448e+15,-7.012,
1.687423568e+15,-7.022,
1.687423688e+15,-7.02,
1.687423808e+15,-7.017,
1.687423928e+15,-7.003,
1.687424048e+15,-7.015,
1.687424168e+15,-7.025,
1.687424288e+15,-7.034,
1.687424408e+15,-7.034,
1.687424528e+15,-7.035,
1.687424648e+15,-7.023,
1.687424768e+15,-7.046,
1.687424888e+15,-7.035,
1.687425008e+15,-7.041,
1.687425128e+15,-7.021,
1.687425248e+15,-7.035,
1.687425368e+15,-7.031,
1.687425488e+15,-7.013,
1.687425608e+15,-6.999,
1.687425728e+15,-7.012,
1.687425848e+15,-7.007,
1.687425968e+15,-6.99,
1.687426088e+15,-6.979,
1.687426208e+15,-6.986,
1.687426328e+15,-7.015,
1.687426448e+15,-6.998,
1.687426568e+15,-6.995,
1.687426688e+15,-6.996,
1.687426808e+15,-7,
1.687426928e+15,-7.001,
1.687427048e+15,-6.988,
1.687427168e+15,-6.989,
1.687427288e+15,-6.974,
1.687427408e+15,-6.978,
1.687427528e+15,-6.969,
1.687427648e+15,-6.965,
1.687427768e+15,-6.992,
1.687427888e+15,-6.97,
1.687428008e+15,-6.974,
1.687428128e+15,-6.974,
1.687428248e+15,-6.966,
1.687428368e+15,-6.974,
1.687428488e+15,-6.966,
1.687428608e+15,-6.973,
1.687428728e+15,-6.962,
1.687428848e+15,-6.96,
1.687428968e+15,-6.945,
1.687429088e+15,-6.961,
1.687429208e+15,-6.954,
1.687429328e+15,-6.957,
1.687429448e+15,-6.959,
1.687429568e+15,-6.951,
1.687429688e+15,-6.96,
1.687429808e+15,-6.947,
1.687429928e+15,-6.962,
1.687430048e+15,-6.952,
1.687430168e+15,-6.965,
1.687430288e+15,-6.974,
1.687430408e+15,-6.965,
1.687430528e+15,-6.983,
1.687430648e+15,-6.977,
1.687430768e+15,-6.974,
1.687430888e+15,-6.978,
1.687431008e+15,-6.971,
1.687431128e+15,-6.973,
1.687431248e+15,-6.974,
1.687431368e+15,-6.968,
1.687431488e+15,-6.975,
1.687431608e+15,-6.973,
1.687431728e+15,-6.966,
1.687431848e+15,-6.984,
1.687431968e+15,-6.971,
