x0000,y0000
1.687419128e+15,7.617,
1.687419248e+15,7.648,
1.687419368e+15,7.659,
1.687419488e+15,7.637,
1.687419608e+15,7.63,
1.687419728e+15,7.636,
1.687419848e+15,7.632,
1.687419968e+15,7.611,
1.687420088e+15,7.581,
1.687420208e+15,7.59,
1.687420328e+15,7.594,
1.687420448e+15,7.608,
1.687420568e+15,7.623,
1.687420688e+15,7.614,
1.687420808e+15,7.615,
1.687420928e+15,7.63,
1.687421048e+15,7.628,
1.687421168e+15,7.673,
1.687421288e+15,7.656,
1.687421408e+15,7.696,
1.687421528e+15,7.703,
1.687421648e+15,7.732,
1.687421768e+15,7.714,
1.687421888e+15,7.735,
1.687422008e+15,7.774,
1.687422128e+15,7.785,
1.687422248e+15,7.809,
1.687422368e+15,7.817,
1.687422488e+15,7.815,
1.687422608e+15,7.801,
1.687422728e+15,7.787,
1.687422848e+15,7.782,
1.687422968e+15,7.789,
1.687423088e+15,7.771,
1.687423208e+15,7.754,
1.687423328e+15,7.771,
1.687423448e+15,7.769,
1.687423568e+15,7.752,
1.687423688e+15,7.745,
1.687423808e+15,7.76,
1.687423928e+15,7.77,
1.687424048e+15,7.757,
1.687424168e+15,7.774,
1.687424288e+15,7.758,
1.687424408e+15,7.787,
1.687424528e+15,7.767,
1.687424648e+15,7.78,
1.687424768e+15,7.783,
1.687424888e+15,7.807,
1.687425008e+15,7.8,
1.687425128e+15,7.81,
1.687425248e+15,7.803,
1.687425368e+15,7.833,
1.687425488e+15,7.867,
1.687425608e+15,7.86,
1.687425728e+15,7.867,
1.687425848e+15,7.877,
1.687425968e+15,7.861,
1.687426088e+15,7.874,
1.687426208e+15,7.869,
1.687426328e+15,7.885,
1.687426448e+15,7.902,
1.687426568e+15,7.884,
1.687426688e+15,7.896,
1.687426808e+15,7.904,
1.687426928e+15,7.903,
1.687427048e+15,7.927,
1.687427168e+15,7.928,
1.687427288e+15,7.933,
1.687427408e+15,7.918,
1.687427528e+15,7.941,
1.687427648e+15,7.909,
1.687427768e+15,7.896,
1.687427888e+15,7.911,
1.687428008e+15,7.933,
1.687428128e+15,7.928,
1.687428248e+15,7.94,
1.687428368e+15,7.952,
1.687428488e+15,7.943,
1.687428608e+15,7.955,
1.687428728e+15,7.928,
1.687428848e+15,7.961,
1.687428968e+15,7.971,
1.687429088e+15,7.938,
1.687429208e+15,7.963,
1.687429328e+15,7.95,
1.687429448e+15,7.966,
1.687429568e+15,7.967,
1.687429688e+15,7.962,
1.687429808e+15,7.965,
1.687429928e+15,7.968,
1.687430048e+15,7.979,
1.687430168e+15,7.955,
1.687430288e+15,7.995,
1.687430408e+15,7.984,
1.687430528e+15,7.985,
1.687430648e+15,7.99,
1.687430768e+15,8.002,
1.687430888e+15,7.98,
1.687431008e+15,8,
1.687431128e+15,8.005,
1.687431248e+15,7.978,
1.687431368e+15,7.997,
1.687431488e+15,8.005,
1.687431608e+15,8.01,
1.687431728e+15,8.044,
1.687431848e+15,8.036,
1.687431968e+15,8.048,
1.687432088e+15,8.064,
1.687432208e+15,8.061,
1.687432328e+15,8.063,
1.687432448e+15,8.037,
1.687432568e+15,8.018,
1.687432688e+15,8.026,
1.687432808e+15,8.012,
1.687432928e+15,7.995,
1.687433048e+15,7.981,
1.687433168e+15,7.972,
1.687433288e+15,7.968,
1.687433408e+15,8.007,
1.687433528e+15,8.006,
1.687433648e+15,8.024,
1.687433768e+15,8.014,
1.687433888e+15,8.028,
1.687434008e+15,8.033,
1.687434128e+15,8.04,
1.687434248e+15,8.046,
