x0000,y0000
1.687421768e+15,7.572,
1.687421888e+15,7.607,
1.687422008e+15,7.621,
1.687422128e+15,7.633,
1.687422248e+15,7.626,
1.687422368e+15,7.626,
1.687422488e+15,7.619,
1.687422608e+15,7.618,
1.687422728e+15,7.626,
1.687422848e+15,7.617,
1.687422968e+15,7.6,
1.687423088e+15,7.604,
1.687423208e+15,7.605,
1.687423328e+15,7.63,
1.687423448e+15,7.624,
1.687423568e+15,7.615,
1.687423688e+15,7.618,
1.687423808e+15,7.691,
1.687423928e+15,7.636,
1.687424048e+15,7.646,
1.687424168e+15,7.655,
1.687424288e+15,7.666,
1.687424408e+15,7.692,
1.687424528e+15,7.7,
1.687424648e+15,7.694,
1.687424768e+15,7.714,
1.687424888e+15,7.717,
1.687425008e+15,7.708,
1.687425128e+15,7.706,
1.687425248e+15,7.728,
1.687425368e+15,7.755,
1.687425488e+15,7.751,
1.687425608e+15,7.734,
1.687425728e+15,7.726,
1.687425848e+15,7.734,
1.687425968e+15,7.734,
1.687426088e+15,7.727,
1.687426208e+15,7.751,
1.687426328e+15,7.761,
1.687426448e+15,7.732,
1.687426568e+15,7.746,
1.687426688e+15,7.744,
1.687426808e+15,7.764,
1.687426928e+15,7.794,
1.687427048e+15,7.805,
1.687427168e+15,7.794,
1.687427288e+15,7.771,
1.687427408e+15,7.756,
1.687427528e+15,7.779,
1.687427648e+15,7.794,
1.687427768e+15,7.798,
1.687427888e+15,7.798,
1.687428008e+15,7.81,
1.687428128e+15,7.802,
1.687428248e+15,7.831,
1.687428368e+15,7.828,
1.687428488e+15,7.842,
1.687428608e+15,7.845,
1.687428728e+15,7.827,
1.687428848e+15,7.839,
1.687428968e+15,7.837,
1.687429088e+15,7.821,
1.687429208e+15,7.822,
1.687429328e+15,7.848,
1.687429448e+15,7.842,
1.687429568e+15,7.828,
1.687429688e+15,7.82,
1.687429808e+15,7.852,
1.687429928e+15,7.827,
1.687430048e+15,7.824,
1.687430168e+15,7.839,
1.687430288e+15,7.825,
1.687430408e+15,7.817,
1.687430528e+15,7.847,
1.687430648e+15,7.865,
1.687430768e+15,7.878,
1.687430888e+15,7.858,
1.687431008e+15,7.879,
1.687431128e+15,7.907,
1.687431248e+15,7.865,
1.687431368e+15,7.906,
1.687431488e+15,7.901,
1.687431608e+15,7.897,
1.687431728e+15,7.934,
1.687431848e+15,7.948,
1.687431968e+15,7.943,
1.687432088e+15,7.932,
1.687432208e+15,7.938,
1.687432328e+15,7.93,
1.687432448e+15,7.912,
1.687432568e+15,7.902,
1.687432688e+15,7.88,
1.687432808e+15,7.88,
1.687432928e+15,7.893,
1.687433048e+15,7.873,
1.687433168e+15,7.894,
1.687433288e+15,7.958,
1.687433408e+15,7.995,
1.687433528e+15,7.998,
1.687433648e+15,8.031,
1.687433768e+15,8.047,
1.687433888e+15,8.029,
1.687434008e+15,8.045,
1.687434128e+15,8.038,
1.687434248e+15,8.034,
1.687434368e+15,8.024,
1.687434488e+15,8.028,
1.687434608e+15,8.046,
1.687434728e+15,8.048,
1.687434848e+15,8.039,
1.687434968e+15,8.049,
1.687435088e+15,8.058,
1.687435208e+15,8.048,
1.687435328e+15,8.049,
1.687435448e+15,8.069,
1.687435568e+15,8.102,
1.687435688e+15,8.127,
1.687435808e+15,8.126,
1.687435928e+15,8.138,
1.687436048e+15,8.117,
1.687436168e+15,8.113,
